Time,Close,High,Low,Open,Volume
09:30,447.69,447.85,447.47,447.78,23984
09:31,447.58,447.66,447.51,447.66,9127
09:32,447.74,447.84,447.67,447.68,10730
09:33,447.78,447.78,447.56,447.725,5502
09:34,447.45,447.82,447.44,447.71,9457
09:35,447.19,447.45,447.05,447.45,12678
09:36,447.16,447.27,447.11,447.248,6159
09:37,447.0,447.07,446.87,447.06,9297
09:38,447.36,447.36,446.98,446.98,7500
09:39,447.44,447.46,447.33,447.33,5275
09:40,447.53,447.639,447.42,447.42,2898
09:41,447.43,447.51,447.39,447.44,3533
09:42,447.7,447.7,447.45,447.45,2084
09:43,447.79,447.82,447.62,447.74,10162
09:44,447.88,447.88,447.75,447.77,10474
09:45,447.8103,448.03,447.81,447.84,6720
09:46,447.79,447.85,447.775,447.85,2282
09:47,447.86,447.9,447.76,447.78,1493
09:48,447.89,447.89,447.82,447.87,2655
09:49,447.855,447.89,447.84,447.88,2541
09:50,447.95,448.01,447.86,447.92,5226
09:51,448.0656,448.0656,447.9,447.93,1618
09:52,448.0,448.07,447.99,448.0274,4446
09:53,448.06,448.09,448.04,448.04,2395
09:54,448.07,448.1279,448.05,448.06,5211
09:55,448.2,448.21,448.02,448.05,3606
09:56,448.34,448.39,448.235,448.235,11881
09:57,448.41,448.4796,448.2204,448.37,3815
09:58,448.35,448.41,448.2804,448.361,2830
09:59,448.49,448.49,448.32,448.32,4622
10:00,447.77,448.44,446.83,448.42,95107
10:01,447.76,447.83,447.48,447.8,16242
10:02,447.34,447.755,447.22,447.755,11807
10:03,447.12,447.48,446.885,447.37,13144
10:04,446.71,447.14,446.465,447.14,13023
10:05,446.67,446.68,446.39,446.68,5399
10:06,446.8,446.92,446.66,446.8,8004
10:07,446.8,446.82,446.49,446.66,6999
10:08,447.0,447.04,446.82,446.84,4436
10:09,447.09,447.1199,446.93,446.93,3526
10:10,446.58,447.05,446.5,447.05,5786
10:11,446.75,446.9252,446.59,446.59,5660
10:12,446.425,446.85,446.425,446.81,4125
10:13,446.265,446.5,446.15,446.49,13708
10:14,446.35,446.42,446.2601,446.2601,8787
10:15,446.25,446.515,446.22,446.4,8894
