Time,Close,High,Low,Open,Volume
09:30,259.73,260.0,259.7,259.75,220595
09:31,259.77,259.81,259.73,259.74,79207
09:32,259.87,259.92,259.75,259.7749,43753
09:33,259.78,259.88,259.78,259.87,47096
09:34,259.8,259.85,259.78,259.7935,39030
09:35,259.94,260.05,259.8,259.81,118451
09:36,260.12,260.14,259.889,259.9413,80627
09:37,259.96,260.14,259.9,260.12,44315
09:38,259.96,260.06,259.91,259.91,47804
09:39,260.0,260.085,259.9801,260.02,47371
09:40,259.999,260.11,259.97,260.01,51106
09:41,260.06,260.0899,259.99,259.99,33400
09:42,260.1199,260.12,260.04,260.069,43457
09:43,260.19,260.2,260.06,260.1,54180
09:44,260.1601,260.21,260.1234,260.199,63650
09:45,260.24,260.39,260.15,260.18,269894
09:46,260.36,260.39,260.21,260.239,66978
09:47,260.52,260.53,260.37,260.37,36695
09:48,260.69,260.7096,260.52,260.52,80317
09:49,260.82,260.87,260.64,260.7,107508
09:50,261.13,261.13,260.83,260.83,67123
09:51,261.1,261.15,261.07,261.09,67297
09:52,261.04,261.09,260.76,261.07,80722
09:53,260.91,261.0799,260.91,261.0799,35185
09:54,261.25,261.25,260.8815,260.91,36227
09:55,261.33,261.3897,261.22,261.2401,80620
09:56,261.13,261.35,261.11,261.335,70540
09:57,261.18,261.22,261.08,261.14,46592
09:58,261.3,261.345,261.21,261.22,9939
09:59,261.2956,261.3399,261.2502,261.33,38807
10:00,261.04,261.26,260.98,261.26,162806
10:01,261.0908,261.14,261.03,261.07,32294
10:02,260.94,261.0901,260.85,261.0901,48192
10:03,261.17,261.2,260.9299,260.93,50384
10:04,260.97,261.2,260.91,261.1412,49239
10:05,260.89,261.06,260.89,260.9692,113381
10:06,260.87,260.93,260.8,260.91,26579
10:07,260.88,260.9,260.73,260.8801,49103
10:08,260.72,260.88,260.69,260.88,39343
10:09,260.5701,260.75,260.53,260.75,107461
10:10,260.5999,260.63,260.55,260.57,50937
10:11,260.9388,260.9388,260.57,260.59,57585
10:12,260.88,261.02,260.86,260.95,41454
10:13,260.75,260.97,260.75,260.88,36312
10:14,260.91,260.91,260.74,260.7503,29524
10:15,260.875,260.94,260.86,260.91,29388
10:16,260.719,260.93,260.69,260.88,51301
10:17,260.69,260.77,260.63,260.7,40529
10:18,260.545,260.74,260.53,260.7,35427
10:19,260.4699,260.58,260.45,260.57,75591
10:20,260.56,260.6001,260.47,260.47,35748
10:21,260.7546,260.7546,260.51,260.56,54762
10:22,260.7,260.76,260.39,260.76,70214
10:23,260.76,260.89,260.67,260.6815,68602
10:24,260.32,260.83,260.26,260.77,187180
10:25,259.75,260.35,259.7,260.34,314507
10:26,260.0,260.0499,259.63,259.7,97043
10:27,260.37,260.44,260.01,260.01,67454
10:28,260.656,260.79,260.33,260.34,78373
10:29,260.31,260.61,260.27,260.61,85047
10:30,259.93,260.37,259.88,260.32,96717
10:31,260.13,260.3,259.8993,259.94,56154
10:32,259.65,260.1,259.61,260.1,66782
10:33,259.87,260.0,259.67,259.67,45904
10:34,259.76,259.92,259.62,259.8572,49233
10:35,259.93,260.02,259.7015,259.7543,84007
10:36,259.8301,260.02,259.67,259.97,28556
10:37,259.83,259.98,259.76,259.83,23721
10:38,259.91,259.9484,259.77,259.78,19614
10:39,259.82,259.95,259.65,259.95,23208
10:40,259.67,259.99,259.62,259.82,50862
10:41,259.87,260.04,259.63,259.6787,136693
10:42,260.25,260.28,259.9243,259.9243,52089
10:43,260.0401,260.31,260.03,260.2499,66997
10:44,259.9785,260.09,259.87,260.09,15073
10:45,259.935,260.05,259.9,259.92,25699
10:46,260.0,260.69,259.91,259.93,13517
10:47,259.945,260.14,259.89,259.98,18487
10:48,259.9457,260.06,259.89,259.94,443726
10:49,260.11,260.19,259.89,259.93,52447
10:50,260.255,260.31,260.08,260.13,87932
10:51,259.99,260.31,259.94,260.26,52682
10:52,260.14,260.17,259.96,260.01,53655
10:53,260.13,260.18,260.045,260.16,23498
10:54,260.13,260.24,260.11,260.12,24976
10:55,260.0499,260.14,259.96,260.128,34332
10:56,259.97,260.13,259.97,260.0,31344
10:57,259.9,259.99,259.89,259.9719,26323
10:58,260.0,260.0379,259.8532,259.89,19790
10:59,259.98,260.03,259.93,259.99,19181
11:00,259.91,260.02,259.89,259.95,23911
11:01,260.0,260.06,259.92,259.93,18241
11:02,259.98,260.0,259.82,259.85,14426
11:03,259.97,260.02,259.59,259.91,43084
11:04,260.03,260.06,259.84,259.94,22225
11:05,260.4785,260.4785,260.0607,260.0642,38808
11:06,260.58,260.69,260.49,260.49,81611
11:07,260.64,260.71,260.49,260.56,143750
11:08,260.63,260.66,260.54,260.62,19942
11:09,260.42,260.6348,260.38,260.6,9892
11:10,260.27,260.432,260.27,260.43,26789
11:11,260.18,260.32,260.17,260.26,32204
11:12,260.1099,260.26,260.069,260.16,24849
11:13,260.15,260.19,260.06,260.09,20712
11:14,260.18,260.2844,260.11,260.149,10550
11:15,260.0799,260.25,260.03,260.18,29894
11:16,260.11,260.21,260.0601,260.11,15850
11:17,260.25,260.25,260.07,260.1,17421
11:18,260.265,260.42,260.25,260.26,51240
11:19,260.33,260.37,260.271,260.271,7744
11:20,260.17,260.37,260.1,260.36,22676
11:21,260.31,260.325,260.18,260.18,38564
11:22,260.3,260.41,260.28,260.33,33480
11:23,260.29,260.38,260.27,260.32,38707
11:24,260.2905,260.31,260.26,260.26,11956
11:25,260.32,260.37,260.26,260.31,12290
11:26,260.37,260.4,260.31,260.31,10482
11:27,260.26,260.37,260.26,260.37,40717
11:28,260.29,260.32,260.22,260.3,18061
11:29,260.27,260.29,260.2,260.28,15452
11:30,260.1501,260.29,260.15,260.28,19903
11:31,260.15,260.15,260.06,260.14,10602
11:32,260.1442,260.25,260.1442,260.16,8967
11:33,260.2,260.21,260.11,260.12,8763
11:34,260.33,260.33,260.2,260.22,13916
11:35,260.45,260.49,260.34,260.34,67731
11:36,260.44,260.5,260.43,260.45,32883
11:37,260.43,260.47,260.4,260.44,7838
11:38,260.2,260.42,260.2,260.42,6666
11:39,260.28,260.29,260.229,260.25,20202
11:40,260.24,260.32,260.2,260.3,16401
11:41,260.31,260.31,260.2,260.24,14892
11:42,260.31,260.31,260.24,260.31,10948
11:43,260.39,260.39,260.255,260.28,29913
11:44,260.385,260.48,260.3799,260.3899,16071
11:45,260.4,260.42,260.34,260.39,11030
11:46,260.26,260.37,260.26,260.37,6791
11:47,260.13,260.24,260.11,260.24,11753
11:48,260.0,260.19,259.99,260.19,20212
