Time,Close,High,Low,Open,Volume
09:30,617.79,618.99,616.47,617.18,30365
09:31,616.01,617.475,614.59,617.18,11171
09:32,616.68,616.68,615.855,615.855,2317
09:33,618.8,618.8,617.16,617.16,3493
09:34,618.15,619.0,617.19,617.19,22513
09:35,617.21,617.995,617.21,617.995,5654
09:36,618.8,618.8,617.21,617.21,7488
09:37,618.29,618.495,617.8502,618.495,4396
09:38,618.2,618.46,617.865,618.39,5678
09:39,618.44,618.7599,618.195,618.41,9706
09:40,619.13,619.14,618.63,618.715,6603
09:41,620.175,620.4062,618.9922,618.9922,11817
09:42,621.247,621.71,620.39,620.6,7082
09:43,622.27,622.68,621.195,621.26,19260
09:44,623.07,623.4499,622.0,622.42,15216
09:45,622.3,623.24,622.24,623.17,10909
09:46,621.54,622.42,621.01,621.96,9204
09:47,621.54,621.61,621.04,621.35,4440
09:48,622.0,622.3868,621.53,621.75,8999
09:49,622.22,622.4986,621.785,621.84,9292
09:50,622.315,622.6,621.6562,622.5,5150
09:51,622.585,622.99,622.42,622.5,8980
09:52,623.72,623.72,622.17,622.23,7640
09:53,624.47,624.58,623.9899,623.9899,9932
09:54,623.87,624.34,623.87,624.25,7443
09:55,623.72,623.81,623.09,623.78,6058
09:56,624.44,624.5,623.77,623.77,3645
09:57,624.07,624.5948,624.07,624.44,5255
09:58,624.35,624.54,623.8272,624.155,4351
09:59,623.2,624.285,623.2,624.285,5646
10:00,623.7985,623.7985,623.375,623.395,3412
10:01,623.0,623.8993,623.0,623.58,3778
10:02,622.44,622.67,622.07,622.67,3677
10:03,621.6,622.4375,621.56,622.4375,3602
10:04,621.405,622.03,621.1104,621.87,6579
10:05,621.655,622.07,621.63,621.9511,2071
10:06,621.0814,621.65,620.86,621.65,4205
10:07,621.46,621.98,621.2,621.2,4353
10:08,622.31,622.315,621.46,621.9533,4749
10:09,622.49,622.63,622.305,622.31,1931
10:10,622.3,622.62,622.01,622.62,4086
10:11,621.98,622.6138,621.98,622.315,6065
10:12,621.375,622.63,621.225,622.26,9475
10:13,621.61,622.03,621.1501,621.44,2528
10:14,621.85,622.275,621.85,622.03,2497
10:15,621.655,622.02,621.64,622.0,4194
10:16,622.39,622.74,621.99,621.99,4900
10:17,622.49,622.505,622.49,622.505,1188
10:18,622.31,622.57,622.31,622.56,3270
10:19,622.455,622.455,622.4021,622.4021,1518
10:20,622.1,622.73,622.1,622.53,3968
10:21,622.1701,622.89,622.1701,622.36,4158
10:22,622.1976,622.795,622.1976,622.54,5919
10:23,623.3,623.3,622.9,622.9,5208
10:24,622.615,623.025,622.61,622.96,5026
10:25,623.655,623.655,622.84,622.84,3640
10:26,623.0301,623.96,623.0301,623.775,6370
10:27,623.65,623.73,623.65,623.69,2122
10:28,623.65,623.76,623.65,623.76,2057
10:29,623.81,623.96,623.81,623.81,2491
10:30,623.88,623.88,623.685,623.685,871
10:31,623.49,623.515,623.44,623.45,5791
10:32,623.84,623.84,623.46,623.46,1071
10:33,623.51,623.9,623.51,623.84,4508
10:34,623.9457,624.21,623.9457,623.98,4541
10:35,623.67,624.17,623.67,624.165,5885
10:36,623.515,623.7,623.43,623.7,3394
10:37,623.34,623.635,623.3201,623.52,4315
10:38,623.6635,623.6635,623.5,623.5,1421
10:39,623.875,623.875,623.45,623.51,4560
10:40,624.15,624.15,624.02,624.02,974
10:41,624.33,624.35,624.19,624.19,2682
10:42,623.9,624.38,623.9,624.2,5445
10:43,623.92,623.92,623.9,623.9043,1202
10:44,624.85,624.85,624.29,624.29,2993
10:45,625.06,625.255,624.76,625.0,10503
10:46,625.13,625.13,624.82,625.05,3945
