Time,Close,High,Low,Open,Volume
09:30,501.52,502.09,501.07,501.43,391621
09:31,500.845,501.6673,500.63,501.405,115143
09:32,500.33,501.5981,500.1,500.75,102543
09:33,501.31,501.31,500.195,500.34,56310
09:34,501.4,502.095,501.29,501.35,90575
09:35,501.325,501.5164,500.995,501.4056,42659
09:36,501.0,501.35,500.8901,501.31,49777
09:37,501.08,501.28,500.7,500.985,68863
09:38,501.555,501.555,500.9615,501.03,44654
09:39,501.45,501.6399,501.36,501.61,36474
09:40,501.71,501.95,501.185,501.41,61274
09:41,501.6,501.96,501.47,501.735,43274
09:42,501.467,501.735,501.3401,501.5772,32856
09:43,500.86,501.485,500.775,501.47,35104
09:44,501.46,501.6438,500.89,500.89,36017
09:45,501.88,501.96,501.52,501.52,43652
09:46,501.56,501.9671,501.445,501.855,49680
09:47,501.305,501.6999,501.11,501.5279,22727
09:48,500.81,501.305,500.61,501.2217,40270
09:49,500.93,501.04,500.7321,500.865,33344
09:50,500.64,501.0111,500.55,500.93,26062
09:51,500.88,501.6,500.47,500.74,50339
09:52,501.16,501.39,500.76,501.0,20850
09:53,500.98,501.3799,500.67,501.263,22944
09:54,500.7019,501.0958,500.69,500.905,40910
09:55,500.585,500.86,500.27,500.745,35726
09:56,501.1,501.1,500.495,500.6,25481
09:57,501.585,501.64,501.06,501.135,27820
09:58,501.03,501.5317,500.95,501.5317,24466
09:59,501.01,501.11,500.66,501.11,28089
10:00,500.14,501.3,500.02,501.01,80091
10:01,499.86,500.4999,499.51,500.02,80236
10:02,499.9,500.1,499.5501,499.7734,45070
10:03,499.605,500.08,499.45,499.82,41478
10:04,499.905,499.98,499.4,499.625,43076
10:05,500.29,500.42,499.785,499.98,34725
10:06,500.36,500.5,500.19,500.3696,43268
10:07,500.64,500.67,500.22,500.33,26520
10:08,500.465,500.675,500.37,500.47,14065
10:09,500.75,500.93,500.45,500.5,25943
10:10,500.8201,501.05,500.65,500.8,35139
10:11,500.88,500.9899,500.75,500.85,18329
10:12,501.585,501.6499,500.82,500.915,61966
10:13,501.515,501.8,501.37,501.54,45839
10:14,501.535,501.76,501.23,501.57,49194
10:15,501.15,501.85,501.09,501.535,46974
10:16,501.2,501.34,501.09,501.22,20169
10:17,501.57,501.65,501.15,501.15,19150
10:18,501.54,501.7,501.32,501.5041,21565
10:19,502.0513,502.14,501.57,501.64,124883
10:20,501.83,502.25,501.6,502.09,39767
10:21,501.55,501.9364,501.31,501.89,23993
10:22,501.41,501.7813,501.39,501.5,16909
10:23,501.36,501.7,501.25,501.44,19014
10:24,501.1509,501.4848,501.06,501.315,24539
10:25,501.2699,501.34,501.09,501.27,14318
10:26,500.86,501.22,500.8325,501.2,26838
10:27,500.98,501.05,500.79,500.8,20966
10:28,501.0696,501.1087,500.7401,500.98,23638
10:29,500.905,501.12,500.875,501.12,21489
10:30,500.952,501.1,500.86,500.895,13877
10:31,500.61,500.985,500.55,500.93,20044
10:32,500.09,500.65,500.09,500.56,23415
10:33,500.135,500.28,500.02,500.03,25746
10:34,499.56,500.145,499.54,500.13,26906
10:35,499.39,499.75,499.3,499.56,35267
10:36,499.1766,499.505,499.11,499.39,30055
10:37,499.05,499.31,499.0301,499.155,24462
10:38,499.5527,499.585,499.05,499.08,37543
10:39,499.39,499.6596,499.3,499.6,29252
10:40,499.14,499.41,499.11,499.32,33362
10:41,499.1402,499.28,499.1,499.155,22925
10:42,499.06,499.23,498.97,499.2,28699
10:43,498.93,499.11,498.8,499.11,19643
10:44,499.13,499.16,498.95,498.98,13995
10:45,499.245,499.33,498.85,499.04,16751
10:46,499.15,499.2599,499.0547,499.22,20817
10:47,499.32,499.41,499.15,499.18,12314
10:48,499.63,499.73,499.33,499.33,17900
10:49,499.36,499.69,499.36,499.6,30371
10:50,499.175,499.42,499.05,499.33,22283
10:51,499.37,499.4152,499.1001,499.23,17632
10:52,499.7493,499.7493,499.3,499.3,21035
10:53,499.73,499.8356,499.685,499.69,22482
10:54,499.95,499.95,499.7,499.78,27488
10:55,499.75,500.11,499.68,499.935,28444
10:56,499.76,499.945,499.655,499.75,19524
10:57,499.66,499.82,499.6,499.82,9677
10:58,499.7481,499.7481,499.58,499.66,18573
10:59,499.75,499.815,499.66,499.735,14092
11:00,499.5,500.0,499.465,499.73,38818
11:01,499.3,499.56,499.25,499.53,25835
11:02,499.45,499.52,499.3349,499.34,21150
11:03,499.2075,499.485,499.12,499.485,15265
11:04,499.35,499.4168,499.22,499.26,20608
11:05,499.475,499.56,499.34,499.34,16239
11:06,499.12,499.4,499.0334,499.4,17048
11:07,499.21,499.29,499.11,499.125,19394
11:08,499.49,499.49,499.1737,499.19,13031
11:09,499.645,499.75,499.5,499.5,20176
11:10,499.65,499.7,499.39,499.54,12019
11:11,499.54,499.7,499.54,499.65,12793
11:12,499.6999,499.7,499.4901,499.58,12338
11:13,499.76,499.76,499.62,499.66,15230
11:14,499.8,499.9,499.72,499.76,19612
11:15,500.085,500.12,499.7701,499.795,14323
11:16,500.12,500.25,500.07,500.09,21784
11:17,499.78,500.16,499.7447,500.09,15076
11:18,499.76,499.825,499.57,499.75,12034
11:19,499.67,499.9,499.6,499.72,19904
11:20,499.7834,499.91,499.7256,499.74,8983
11:21,499.765,499.7933,499.63,499.7933,16666
11:22,499.7,499.85,499.61,499.745,16933
11:23,499.48,499.71,499.4101,499.67,19597
11:24,499.22,499.46,499.115,499.46,17275
11:25,499.36,499.37,499.215,499.23,19026
11:26,499.41,499.56,499.35,499.35,17696
11:27,499.4817,499.55,499.3999,499.55,10325
11:28,499.58,499.62,499.47,499.48,17971
11:29,499.515,499.78,499.515,499.575,16004
11:30,499.46,499.68,499.43,499.475,16659
11:31,499.565,499.625,499.44,499.4457,25603
11:32,499.46,499.59,499.3609,499.59,9648
11:33,499.45,499.4884,499.34,499.3957,8649
11:34,499.18,499.46,499.13,499.46,14752
11:35,499.165,499.2106,499.1,499.12,10286
11:36,499.35,499.35,499.1242,499.165,11549
11:37,499.19,499.37,499.185,499.35,9027
11:38,499.18,499.255,499.08,499.205,13261
11:39,499.2,499.259,499.1569,499.215,8566
11:40,499.06,499.26,499.06,499.21,19143
11:41,498.985,499.19,498.9,499.055,19275
11:42,498.8,498.97,498.78,498.97,19399
11:43,498.81,498.875,498.761,498.825,11446
11:44,498.8,498.87,498.7127,498.81,13988
11:45,498.95,499.0999,498.8,498.81,9239
11:46,499.135,499.135,498.96,499.0,9900
11:47,499.03,499.1888,499.0,499.11,9500
11:48,499.075,499.095,499.03,499.065,8207
11:49,499.06,499.225,499.02,499.11,12767
11:50,499.32,499.33,499.13,499.135,7909
11:51,499.2793,499.351,499.22,499.325,7452
11:52,499.72,499.72,499.25,499.25,16615
11:53,499.9,499.9,499.6527,499.69,29146
11:54,499.865,500.0,499.76,499.88,13653
11:55,500.0,500.1,499.78,499.865,17253
11:56,500.055,500.0994,499.94,500.0,12863
11:57,499.73,500.05,499.73,500.04,13710
11:58,499.78,499.8499,499.62,499.755,9173
11:59,499.46,499.79,499.42,499.79,13579
12:00,499.63,499.65,499.4,499.4,13151
12:01,499.485,499.66,499.45,499.6064,14487
12:02,499.335,499.5051,499.29,499.45,15477
12:03,499.19,499.34,499.12,499.33,28130
12:04,499.288,499.32,499.23,499.255,11346
12:05,499.11,499.33,499.07,499.23,30628
12:06,499.07,499.18,499.0,499.105,38083
12:07,498.85,499.07,498.825,499.07,15021
12:08,498.95,498.98,498.805,498.8319,45982
12:09,498.94,499.06,498.895,498.94,106759
12:10,498.95,499.03,498.88,498.95,134590
12:11,498.77,499.01,498.6,498.95,78479
12:12,498.77,498.77,498.6,498.67,14021
12:13,498.9644,499.077,498.7177,498.7177,13207
12:14,498.985,499.15,498.98,499.03,14574
12:15,499.1708,499.1708,498.9246,498.9246,10671
12:16,499.05,499.19,499.0,499.165,10558
12:17,499.15,499.18,499.06,499.14,15153
12:18,499.37,499.43,499.15,499.15,33382
12:19,499.195,499.435,499.13,499.385,42808
12:20,498.815,499.2,498.78,499.2,28025
12:21,498.78,498.97,498.78,498.86,23740
12:22,498.615,498.75,498.51,498.74,11839
12:23,498.665,498.75,498.52,498.605,15813
12:24,498.66,498.76,498.62,498.665,22818
12:25,498.64,498.73,498.63,498.65,7604
12:26,498.48,498.63,498.46,498.63,12197
12:27,498.43,498.51,498.38,498.48,20901
12:28,498.625,498.63,498.36,498.38,18146
12:29,498.63,498.64,498.47,498.62,10630
12:30,498.57,498.66,498.55,498.66,18479
12:31,498.5975,498.67,498.54,498.62,11383
12:32,498.59,498.63,498.48,498.585,16856
12:33,498.5,498.595,498.46,498.593,10853
12:34,498.6224,498.6224,498.45,498.51,15435
12:35,498.52,498.65,498.51,498.61,17781
12:36,498.51,498.64,498.47,498.55,22863
12:37,498.5193,498.555,498.46,498.5169,8085
12:38,498.5246,498.5246,498.4626,498.4626,5841
12:39,498.5275,498.55,498.45,498.49,7033
12:40,498.58,498.65,498.47,498.52,15311
12:41,498.615,498.62,498.55,498.5859,6729
12:42,498.53,498.65,498.47,498.625,12466
