Time,Close,High,Low,Open,Volume
09:30,512.6625,513.245,512.37,513.03,711231
09:31,513.26,513.35,512.45,512.67,188575
09:32,513.35,513.84,513.26,513.265,151933
09:33,513.44,513.62,513.08,513.35,176866
09:34,513.35,513.77,513.13,513.48,152448
09:35,512.84,513.55,512.7,513.4,232909
09:36,512.77,513.13,512.56,512.83,270451
09:37,511.88,512.8,511.85,512.79,214919
09:38,512.44,512.44,511.46,511.87,184953
09:39,513.01,513.21,512.32,512.3801,182018
09:40,513.7551,513.79,513.06,513.08,143759
09:41,513.735,513.96,513.59,513.77,144833
09:42,513.66,514.0,513.58,513.74,153350
09:43,514.25,514.27,513.6181,513.6928,125319
09:44,514.11,514.34,513.94,514.23,98940
09:45,514.14,514.29,513.88,514.1,123982
09:46,514.36,514.41,514.05,514.15,167788
09:47,514.8,514.81,514.36,514.36,120328
09:48,514.81,515.12,514.67,514.74,265475
09:49,515.21,515.231,514.79,514.82,145033
09:50,514.98,515.25,514.713,515.22,160986
09:51,515.07,515.11,514.825,515.0,103441
09:52,514.84,515.15,514.8,515.04,114148
09:53,514.75,514.89,514.38,514.85,168518
09:54,514.56,515.0,514.5,514.72,129628
09:55,514.17,514.61,513.0429,514.58,192856
09:56,514.7,514.73,514.22,514.24,114491
09:57,514.86,514.86,514.5,514.72,114317
09:58,514.97,514.98,514.68,514.86,80561
09:59,514.82,515.12,514.73,514.95,371065
10:00,515.48,515.57,514.87,514.87,159234
10:01,515.6515,515.8,515.475,515.5,113535
10:02,515.8,515.86,515.63,515.65,181991
10:03,515.9,515.94,515.71,515.8,125400
10:04,515.69,515.93,515.55,515.9,96019
10:05,515.43,515.82,515.3909,515.73,105495
10:06,515.664,515.72,515.31,515.45,110836
10:07,515.47,515.83,515.23,515.66,111272
10:08,516.2619,516.28,515.44,515.49,356258
10:09,515.84,516.32,515.81,516.24,120622
10:10,515.74,515.94,515.57,515.84,106988
10:11,515.88,515.9199,515.7,515.7454,53373
10:12,515.9402,516.21,515.79,515.89,71538
10:13,516.12,516.24,515.82,515.94,51614
10:14,515.645,516.09,515.61,516.09,46879
10:15,515.99,516.01,515.52,515.67,62709
10:16,516.14,516.26,515.93,515.99,63051
10:17,516.54,516.59,516.105,516.14,131897
10:18,516.61,516.72,516.46,516.53,184136
10:19,516.68,516.7,516.51,516.61,86667
10:20,516.34,516.73,516.23,516.68,183277
10:21,516.62,516.62,516.23,516.34,76621
10:22,516.491,516.69,516.37,516.62,99006
10:23,516.42,516.57,516.27,516.49,62432
10:24,516.52,516.6,516.22,516.42,90061
10:25,516.11,516.53,516.02,516.52,94437
10:26,516.23,516.4,516.05,516.14,72638
10:27,516.31,516.37,516.165,516.245,97794
10:28,516.25,516.25,516.03,516.24,70897
10:29,516.33,516.49,516.18,516.26,76237
10:30,516.33,516.52,516.22,516.34,60722
10:31,516.13,516.42,516.1,516.34,76129
10:32,516.14,516.24,515.79,516.12,80239
10:33,515.71,516.19,515.66,516.13,89024
10:34,516.04,516.09,515.67,515.72,53884
10:35,515.72,516.25,515.71,516.04,107621
10:36,515.41,515.73,515.288,515.7,132806
10:37,515.76,515.87,515.35,515.45,117873
10:38,516.4,516.41,515.73,515.75,143660
10:39,516.09,516.45,516.022,516.4,56225
10:40,516.02,516.15,515.8,516.03,59164
10:41,516.17,516.19,515.82,516.0,57871
10:42,516.05,516.31,516.015,516.18,63329
10:43,515.92,516.17,513.11,516.07,40652
10:44,515.78,515.91,515.63,515.91,42587
10:45,515.91,515.95,515.6037,515.78,42262
10:46,515.7912,515.93,515.62,515.835,47354
10:47,515.51,515.79,515.42,515.76,46174
10:48,515.37,515.56,515.37,515.55,29666
10:49,515.38,515.54,515.1,515.39,112742
10:50,515.44,515.53,515.2,515.38,96106
10:51,515.27,515.48,515.05,515.46,66395
10:52,515.84,515.85,515.2,515.25,57472
10:53,515.86,516.31,515.6026,515.86,134619
10:54,515.77,515.97,515.6317,515.88,50895
10:55,515.78,515.94,515.67,515.73,22031
10:56,515.46,515.879,515.4,515.7901,76166
10:57,515.33,515.47,515.32,515.4,51724
10:58,514.87,515.3499,514.71,515.31,123201
10:59,514.65,514.96,514.64,514.89,46782
11:00,515.3801,515.66,514.72,514.72,123485
11:01,515.31,515.39,514.95,515.38,117458
11:02,515.519,515.63,515.2401,515.31,63576
11:03,515.36,515.59,515.31,515.56,28726
11:04,515.5,515.51,515.28,515.36,35551
11:05,515.6201,515.71,515.47,515.5,69345
11:06,515.395,515.85,515.39,515.64,47170
11:07,515.17,515.38,515.0701,515.37,164752
11:08,514.94,515.13,514.74,515.13,59087
11:09,514.95,514.97,514.77,514.93,38873
11:10,514.99,515.02,514.6426,514.95,51520
11:11,515.17,515.17,514.84,514.93,61013
11:12,515.47,515.47,515.07,515.15,162525
11:13,515.52,515.59,515.44,515.49,42264
11:14,515.5306,515.5899,515.42,515.58,43229
11:15,515.43,515.58,515.39,515.49,19782
11:16,515.01,515.425,514.97,515.4,48236
11:17,514.9799,515.21,514.75,515.12,35277
11:18,515.07,515.07,514.86,514.935,41441
11:19,515.26,515.26,514.98,515.09,24702
11:20,514.94,515.29,514.8804,515.28,36361
11:21,514.78,515.07,514.72,514.94,26570
11:22,515.58,515.58,514.86,514.86,51292
11:23,515.7299,515.82,515.56,515.59,59787
11:24,515.23,515.71,515.19,515.697,31434
11:25,514.885,515.2035,514.8701,515.2,50682
11:26,515.07,515.13,514.84,514.87,19656
11:27,515.1,515.3,515.0601,515.13,58400
11:28,515.0,515.1897,514.94,515.17,44260
11:29,514.92,515.05,514.8202,514.9951,19947
11:30,514.5165,514.93,514.51,514.91,97604
11:31,514.0401,514.6,514.0,514.5,126736
11:32,513.68,514.05,513.52,514.05,166149
11:33,514.0799,514.19,513.54,513.66,125312
11:34,513.7423,514.2,513.69,514.08,105939
11:35,514.0,514.05,513.74,513.78,61297
11:36,514.11,514.26,513.8101,514.0,83845
11:37,514.04,514.21,513.88,514.1,31308
11:38,514.14,514.57,514.0,514.0,103225
11:39,514.13,514.23,514.0,514.15,30076
11:40,514.2838,514.37,514.13,514.16,20044
11:41,514.22,514.33,514.17,514.29,22332
11:42,513.9401,514.22,513.87,514.22,42732
11:43,513.78,513.98,513.75,513.97,23274
11:44,513.44,513.91,513.44,513.77,92788
11:45,513.72,513.86,513.4671,513.49,60998
11:46,513.61,513.82,513.55,513.72,45946
11:47,513.83,513.88,513.56,513.6,103892
11:48,513.67,513.88,513.61,513.7665,25251
11:49,513.7699,513.8,513.57,513.61,34203
11:50,513.4969,513.81,513.49,513.78,24308
11:51,513.82,513.83,513.38,513.54,60403
11:52,513.3999,513.86,513.17,513.84,71846
11:53,513.015,513.45,512.925,513.375,65795
11:54,513.53,513.55,513.07,513.07,54694
11:55,513.53,513.6,513.27,513.49,23992
11:56,513.53,513.55,513.2958,513.55,111418
11:57,513.42,513.46,513.2,513.44,15186
11:58,513.6,513.6499,513.37,513.405,34764
11:59,513.56,513.73,513.43,513.6,58194
12:00,513.41,513.6,513.31,513.48,95785
12:01,513.51,513.57,513.31,513.42,54336
12:02,513.98,514.07,513.5375,513.55,74005
12:03,513.81,513.97,513.6,513.97,50652
12:04,513.95,514.05,513.77,513.82,46340
12:05,514.0293,514.06,513.83,513.9545,30039
12:06,514.3521,514.44,514.02,514.02,59106
12:07,514.52,514.531,514.28,514.37,53789
12:08,514.37,514.5098,514.17,514.49,52997
12:09,514.46,514.46,514.2901,514.3999,16055
12:10,514.5399,514.55,514.42,514.48,39140
12:11,514.32,514.54,514.3165,514.515,150157
12:12,514.5201,514.67,514.33,514.33,47374
12:13,514.55,514.68,514.51,514.58,24600
12:14,514.4649,514.7,514.4501,514.6,19399
12:15,514.44,514.61,514.38,514.5,19010
12:16,514.73,514.81,514.43,514.43,45679
12:17,514.69,514.86,514.66,514.75,43459
12:18,514.61,514.76,514.53,514.7001,21967
12:19,514.365,514.61,514.26,514.6,38677
12:20,514.5301,514.6,514.26,514.36,150641
12:21,514.66,514.67,514.5,514.535,26111
12:22,514.365,514.68,514.08,514.68,69033
12:23,514.28,514.42,514.2001,514.4,20405
12:24,514.33,514.61,514.32,514.3662,56395
12:25,514.3663,514.4399,514.3255,514.33,15481
12:26,514.47,514.5,514.305,514.33,8321
12:27,514.73,514.77,514.54,514.54,31444
12:28,514.76,514.77,514.6,514.755,22552
12:29,514.7939,514.83,514.59,514.75,47920
12:30,514.96,515.0,514.79,514.8197,43864
12:31,515.16,515.18,514.94,514.94,67965
12:32,515.11,515.19,515.1,515.14,21798
12:33,515.15,515.21,515.1,515.11,38065
12:34,515.11,515.21,515.09,515.13,44402
12:35,515.15,515.17,515.0101,515.12,33232
12:36,515.3804,515.43,515.1575,515.16,36681
12:37,515.32,515.39,515.2319,515.38,16223
12:38,515.53,515.53,515.3,515.3,33496
12:39,515.57,515.63,515.44,515.54,25559
12:40,515.47,515.59,515.47,515.57,19820
12:41,515.57,515.67,515.44,515.48,27339
12:42,515.57,515.63,515.51,515.63,14643
12:43,515.6,515.63,515.5301,515.57,66612
12:44,515.5491,515.64,515.52,515.59,32807
12:45,515.54,515.58,515.39,515.5481,54977
12:46,515.419,515.55,515.4014,515.55,25755
