Time,Close,High,Low,Open,Volume
09:30,276.945,276.945,275.8,275.8,5474
09:31,276.605,276.605,276.605,276.605,154
09:32,276.77,276.84,276.77,276.84,988
09:33,276.735,276.735,276.11,276.11,409
09:36,277.015,277.015,276.77,276.77,900
09:37,277.26,277.26,277.07,277.07,826
09:39,276.64,276.64,276.48,276.49,1893
09:40,276.665,276.665,276.665,276.665,1219
09:41,276.52,276.71,276.49,276.665,1617
09:42,276.08,276.23,276.08,276.18,814
09:45,275.58,275.99,275.58,275.98,1221
09:46,275.66,275.66,275.66,275.66,932
09:49,275.24,275.24,275.24,275.24,858
09:50,275.57,275.81,275.57,275.81,1658
09:51,275.41,275.54,275.34,275.54,1415
09:53,275.27,275.27,275.27,275.27,966
09:54,275.515,275.515,275.515,275.515,264
09:55,275.53,275.53,275.53,275.53,1519
09:56,275.38,275.38,275.38,275.38,237
09:57,275.34,275.35,275.34,275.35,635
09:58,275.2,275.2,275.2,275.2,1155
10:00,275.39,275.39,275.39,275.39,658
10:01,275.17,275.39,275.17,275.39,1001
10:02,275.44,275.44,275.32,275.32,567
10:03,275.395,275.395,275.395,275.395,367
10:04,275.32,275.32,275.32,275.32,506
10:05,275.54,275.54,275.51,275.51,614
10:06,275.47,275.47,275.44,275.44,853
10:07,275.57,275.57,275.47,275.47,741
10:08,275.79,275.79,275.48,275.48,3551
10:11,275.96,275.96,275.96,275.96,580
10:12,275.8,276.08,275.8,276.06,2259
10:13,276.0,276.0798,275.9,275.92,3560
10:14,275.9,276.0,275.9,275.99,654
10:15,275.8,275.8,275.8,275.8,380
10:16,275.75,275.75,275.75,275.75,184
10:17,275.55,275.55,275.55,275.55,730
10:18,275.45,275.45,275.45,275.45,250
10:19,275.27,275.27,275.225,275.27,2122
10:22,275.415,275.415,275.41,275.41,1282
10:23,275.39,275.39,275.39,275.39,527
10:24,275.14,275.16,275.14,275.16,652
10:25,275.075,275.29,275.075,275.29,389
10:26,274.94,275.07,274.94,275.07,1113
10:29,275.22,275.25,275.2,275.21,1697
10:30,275.08,275.09,275.08,275.09,542
10:31,275.0325,275.08,275.01,275.07,1389
10:32,275.125,275.16,275.095,275.095,2257
10:33,275.18,275.21,275.125,275.125,672
10:34,275.07,275.12,275.07,275.12,1434
10:36,275.05,275.0907,274.9,274.9,735
10:37,275.0,275.105,275.0,275.08,1853
10:38,275.11,275.24,275.11,275.24,356
10:39,275.01,275.12,275.01,275.12,566
10:40,275.005,275.005,274.99,275.0,925
10:41,275.11,275.13,274.93,274.99,7656
10:42,274.97,275.05,274.88,274.94,7862
10:43,274.87,274.88,274.87,274.88,1026
10:44,274.84,274.84,274.84,274.84,551
10:45,275.05,275.13,274.935,275.07,5977
