Time,Close,High,Low,Open,Volume
09:30,53.38,53.43,53.2,53.33,46475
09:31,53.5244,53.53,53.42,53.44,33908
09:32,53.75,53.75,53.515,53.515,21028
09:33,53.82,53.89,53.77,53.77,10731
09:34,53.84,53.93,53.8018,53.84,5148
09:35,53.51,53.805,53.46,53.805,5191
09:36,53.41,53.55,53.23,53.54,7597
09:37,53.6399,53.66,53.345,53.345,11334
09:38,53.7,53.82,53.625,53.64,5840
09:39,53.63,53.685,53.63,53.68,2208
09:40,53.89,53.94,53.695,53.695,3789
09:41,53.81,53.93,53.81,53.93,8539
09:42,53.76,53.9053,53.75,53.8794,9397
09:43,53.86,53.86,53.7,53.73,7122
09:44,53.9,53.9586,53.825,53.8296,5884
09:45,54.055,54.0599,53.94,53.98,16903
09:46,53.73,54.1499,53.73,54.1,9495
09:47,53.84,53.88,53.75,53.8,6640
09:48,54.0,54.09,54.0,54.0,13173
09:49,53.87,54.0125,53.83,54.0125,7762
09:50,53.85,53.97,53.75,53.89,10892
09:51,53.4004,53.8257,53.36,53.815,8588
09:52,53.29,53.435,53.22,53.435,29770
09:53,53.11,53.34,53.06,53.265,10158
09:54,53.03,53.0719,52.99,53.06,7089
09:55,52.79,53.06,52.79,53.04,8548
09:56,52.7678,52.7956,52.69,52.7956,24997
09:57,52.78,52.8,52.5952,52.6722,6932
09:58,52.85,52.9,52.75,52.82,1986
09:59,52.95,53.0224,52.817,52.817,4286
10:00,52.695,52.9,52.63,52.88,9812
10:01,52.5,52.57,52.46,52.54,3373
10:02,52.54,52.54,52.44,52.44,22012
10:03,52.8,52.8,52.5986,52.605,7735
10:04,52.675,52.8,52.66,52.78,23185
10:05,52.7,52.71,52.67,52.71,551
10:06,52.7,52.71,52.63,52.71,1002
10:07,52.5282,52.6599,52.5282,52.6,1025
10:08,52.3614,52.4569,52.3614,52.4556,1164
10:09,52.32,52.3529,52.2762,52.3529,4895
10:10,52.3499,52.44,52.3,52.44,15485
10:11,52.46,52.46,52.34,52.34,8195
10:12,52.3899,52.49,52.2936,52.43,4407
10:13,52.63,52.63,52.39,52.39,2604
10:14,52.42,52.57,52.42,52.57,1815
10:15,52.485,52.53,52.4361,52.47,3078
10:16,52.71,52.71,52.57,52.58,987
10:17,52.79,52.8,52.66,52.7468,1830
10:18,52.93,52.94,52.745,52.79,7029
10:19,52.94,53.0,52.94,52.94,881
10:20,52.985,53.035,52.985,53.0,8764
10:21,53.06,53.11,52.935,52.935,1920
10:22,53.1088,53.12,53.04,53.07,2345
10:23,53.0981,53.12,53.0205,53.12,1395
10:24,53.01,53.15,53.01,53.1458,1977
10:25,53.13,53.16,53.07,53.07,2259
10:26,53.1134,53.165,53.07,53.07,957
10:27,53.135,53.135,53.135,53.135,364
10:28,53.1657,53.1657,53.1006,53.1006,766
10:29,53.19,53.2786,53.19,53.2,712
10:30,52.89,53.18,52.89,53.18,1052
10:31,52.9699,52.9715,52.925,52.93,1033
10:32,52.67,52.91,52.64,52.85,12848
10:33,52.48,52.61,52.46,52.61,1609
10:34,52.325,52.41,52.29,52.41,1717
10:35,52.43,52.44,52.29,52.29,2511
10:36,52.35,52.39,52.35,52.38,1654
10:37,52.6,52.6,52.4668,52.4668,845
10:38,52.45,52.6668,52.445,52.61,600
10:39,52.44,52.45,52.4,52.45,855
10:40,52.5152,52.5152,52.5119,52.5119,1036
10:41,52.425,52.425,52.42,52.42,1278
10:42,52.61,52.6375,52.457,52.457,3713
10:43,52.67,52.67,52.67,52.67,149
10:44,52.54,52.605,52.54,52.55,453
10:46,52.295,52.55,52.295,52.55,1158
10:47,52.2801,52.34,52.2,52.2,5671
10:48,52.33,52.345,52.32,52.32,544
10:49,52.25,52.2575,52.25,52.2575,1112
10:50,52.12,52.14,52.08,52.13,1832
10:51,52.23,52.23,52.105,52.16,1766
10:52,52.405,52.425,52.355,52.355,2061
10:53,52.27,52.37,52.27,52.27,1813
10:54,52.12,52.122,52.1,52.1043,968
10:55,52.215,52.215,52.1,52.1,3685
10:56,52.19,52.19,52.19,52.19,330
10:57,52.195,52.195,52.145,52.145,327
10:58,52.11,52.23,52.1,52.23,2438
10:59,52.1,52.1,52.0221,52.06,1105
11:00,51.88,52.01,51.8124,52.0,7102
11:01,51.82,51.86,51.81,51.83,5726
11:02,51.79,51.79,51.73,51.77,11152
11:03,51.8,51.86,51.765,51.7663,39730
11:04,51.795,51.885,51.78,51.78,16055
11:05,51.82,51.88,51.745,51.745,1158
11:06,51.81,51.83,51.81,51.83,7040
11:07,51.6801,51.74,51.6801,51.74,1565
11:08,51.84,51.84,51.69,51.69,3693
11:09,51.96,51.99,51.87,51.87,12063
11:10,51.775,51.98,51.775,51.97,2336
11:11,51.95,51.95,51.74,51.75,6404
11:12,51.88,51.89,51.7,51.89,3086
11:13,52.02,52.02,51.875,51.875,2548
11:14,52.05,52.08,52.0219,52.05,4056
11:15,52.0,52.165,51.99,52.13,865
11:16,51.86,51.98,51.86,51.96,3275
11:17,51.86,51.86,51.86,51.86,117
11:18,51.88,51.89,51.815,51.815,1275
11:19,51.7061,51.73,51.66,51.73,1486
11:20,51.5999,51.665,51.58,51.665,9996
11:21,51.52,51.56,51.51,51.56,4022
11:22,51.4,51.5,51.4,51.48,1350
11:23,51.37,51.406,51.36,51.406,2419
11:24,51.34,51.4,51.33,51.36,3139
11:25,51.36,51.36,51.26,51.33,35674
11:26,51.37,51.47,51.36,51.39,2907
11:27,51.455,51.455,51.38,51.38,1738
11:28,51.45,51.47,51.39,51.42,4942
11:29,51.57,51.57,51.51,51.51,555
11:30,51.745,51.79,51.57,51.57,5939
11:31,51.74,51.79,51.74,51.78,1429
11:32,51.7292,51.83,51.71,51.8,3271
11:33,51.58,51.72,51.58,51.72,1134
11:34,51.56,51.56,51.535,51.535,856
11:35,51.44,51.49,51.44,51.49,3265
11:36,51.42,51.42,51.34,51.38,2885
11:37,51.355,51.355,51.332,51.3362,1319
11:38,51.27,51.3417,51.25,51.3264,1372
11:39,51.21,51.2809,51.2,51.2,5173
11:40,51.1176,51.2,51.1176,51.2,1328
11:41,51.21,51.23,51.1,51.11,3191
11:42,51.29,51.29,51.19,51.23,1345
11:43,51.305,51.33,51.305,51.33,2215
11:44,51.335,51.3564,51.335,51.3564,315
11:45,51.24,51.28,51.24,51.26,627
11:46,51.15,51.22,51.102,51.21,4994
11:47,51.1454,51.16,51.12,51.16,1814
11:48,51.14,51.15,51.13,51.13,793
11:49,51.14,51.14,51.1,51.13,725
11:51,51.105,51.105,51.08,51.08,567
11:52,51.01,51.0704,50.99,51.0704,20746
11:53,50.99,51.075,50.99,51.07,2205
11:55,51.22,51.22,51.02,51.02,4098
11:56,51.14,51.2725,51.14,51.2725,1139
11:57,51.11,51.12,51.11,51.12,670
11:58,51.28,51.28,51.14,51.14,1097
11:59,51.3175,51.37,51.3175,51.35,2594
12:00,51.25,51.27,51.2488,51.27,10840
12:01,51.11,51.14,51.07,51.14,1880
12:02,51.08,51.16,51.08,51.16,932
12:03,51.0999,51.125,51.0999,51.105,21517
12:04,51.13,51.24,51.1,51.1,11101
12:05,51.28,51.28,51.28,51.28,456
12:06,51.4,51.4,51.27,51.28,2992
12:07,51.435,51.4585,51.4225,51.43,5845
12:08,51.44,51.44,51.43,51.43,1115
12:09,51.435,51.4961,51.435,51.4961,413
12:10,51.6565,51.66,51.485,51.485,4189
12:11,51.67,51.698,51.64,51.6564,1929
12:12,51.54,51.64,51.54,51.64,1160
12:13,51.5,51.5,51.5,51.5,718
12:14,51.545,51.56,51.545,51.56,305
12:15,51.48,51.48,51.48,51.48,1215
12:16,51.35,51.52,51.35,51.52,1552
12:17,51.43,51.43,51.3872,51.3899,519
12:18,51.26,51.33,51.24,51.28,7594
12:19,51.15,51.215,51.15,51.215,661
12:20,51.29,51.29,51.16,51.16,11474
12:21,51.14,51.19,51.14,51.19,1850
12:22,51.155,51.19,51.155,51.19,350
12:23,51.14,51.16,51.0825,51.16,1630
12:24,51.24,51.2921,51.212,51.212,2165
